drug,SVR,,,,,,LLS,,,,,,LARS,,,,,,DT,,,,,,NNclassify,,,,,
,median-mse,median-accuracy,median-ir,median-sens,median-spec,median-corrcoef,median-mse,median-accuracy,median-ir,median-sens,median-spec,median-corrcoef,median-mse,median-accuracy,median-ir,median-sens,median-spec,median-corrcoef,median-mse,median-accuracy,median-ir,median-sens,median-spec,median-corrcoef,median-mse,median-accuracy,median-ir,median-sens,median-spec,median-corrcoef
APV,0.470634489813,0.764705882353,0.73125,0.768543956044,0.882083421108,0.550605764397,0.464473638372,0.751633986928,0.693280632411,0.795363908275,0.880065359477,0.537317814284,0.488919281348,0.764705882353,0.738095238095,0.756988120195,0.890306122449,0.527944858685,,0.766233766234,0.739130434783,0.758620689655,0.905263157895,,,0.679738562092,0.713141025641,0.694368131868,0.788967611336,
ATV,0.560824381318,0.643578643579,0.645161290323,0.810810810811,0.8,0.489427069128,0.515105732535,0.635642135642,0.650452488688,0.850713012478,0.75,0.489024620293,0.554319776053,0.621212121212,0.623109243697,0.852941176471,0.73431372549,0.473773544768,,0.636363636364,0.551724137931,0.787878787879,0.8125,,,0.558080808081,0.56,0.764705882353,0.688577586207,
IDV,0.311968190491,0.745454545455,0.618682684341,0.904877260982,0.929133199465,0.692514015827,0.306800960008,0.745454545455,0.624144144144,0.909090909091,0.911946202531,0.702255814324,0.334762630356,0.745454545455,0.596077785102,0.917290784761,0.927270055833,0.676595039118,,0.734939759036,0.611111111111,0.9,0.905882352941,,,0.70303030303,0.601428012519,0.884615384615,0.861739407454,
LPV,0.285662126651,0.764683264443,0.714285714286,0.944444444444,0.886752136752,0.724527532557,0.286528275061,0.764683264443,0.708496732026,0.962264150943,0.872340425532,0.718959742443,0.30126333527,0.747572815534,0.683375104428,0.961481481482,0.851063829787,0.725553127893,,0.708737864078,0.652173913043,0.879310344828,0.893617021277,,,0.696049216573,0.647058823529,0.919677419355,0.836786469345,
NFV,0.312715263812,0.744047619048,0.707427536232,0.896279695204,0.918363569049,0.686802805395,0.32224726619,0.741720779221,0.704672395274,0.918779633066,0.874007936508,0.685683154904,0.346305798072,0.714285714286,0.673590185105,0.935710772257,0.853889943074,0.673545007049,,0.755952380952,0.692307692308,0.901960784314,0.911764705882,,,0.672673160173,0.651041666666,0.903181029497,0.839989759345,
RTV,0.213484001924,0.832278481013,0.778499278499,0.914081325301,0.96,0.791675032038,0.20619838557,0.829113924051,0.777777777778,0.922649572649,0.948043184885,0.797139538326,0.228523666187,0.832278481013,0.771905805038,0.936608398633,0.948367754831,0.782652427892,,0.811320754717,0.746666666667,0.939024390244,0.948051948052,,,0.76752677702,0.70776371308,0.917727639001,0.887301587301,
SQV,0.429443546982,0.762195121951,0.729791395045,0.842105263158,0.851315789473,0.583049037841,0.415430336822,0.737804878049,0.702459016394,0.888106416275,0.824135839903,0.595994774169,0.445580633948,0.728658536586,0.653846153846,0.885245901639,0.82200220022,0.579590898697,,0.745454545455,0.666666666667,0.742424242424,0.89,,,0.682926829268,0.634508348794,0.789103039288,0.823829467354,
3TC,0.112739435113,0.830508474576,0.983870967742,0.772151898734,0.978472222222,0.89452772084,0.111717574637,0.872881355932,0.984848484848,0.860759493671,0.942016806722,0.8891177505,0.130703450122,0.813559322034,0.986260116695,0.756097560976,1.0,0.879476742994,,0.857142857143,0.985915492958,0.882352941176,0.875,,,0.818911685995,0.958325294231,0.9,0.74358974359,
ABC,0.490325692729,0.696581196582,0.67937062937,0.902608401084,0.871794871795,0.565888172018,0.481947513645,0.688034188035,0.681488801054,0.908492822966,0.833333333333,0.552746324044,0.531249029832,0.688034188035,0.693979933111,0.911392405063,0.80487804878,0.542142921332,,0.634920634921,0.625,0.873563218391,0.846153846154,,,0.581196581197,0.610243055556,0.898085037326,0.658215661104,
AZT,0.365660225707,0.752136752137,0.704310868246,0.907670454545,0.870669056153,0.65872561499,0.364776830546,0.752136752137,0.706397306397,0.909090909091,0.854692082111,0.646774673364,0.419722140498,0.717948717949,0.687964841109,0.931034482759,0.79977753059,0.628718118411,,0.674603174603,0.622222222222,0.75,0.878787878788,,,0.641025641026,0.628768303187,0.819672131148,0.798305084746,
D4T,0.634647014103,0.735042735043,0.741658240648,0.77664399093,0.893398268398,0.430517927905,0.578392249566,0.700854700855,0.705882352941,0.811541565779,0.842927631579,0.435352431416,0.714313481601,0.692307692308,0.705555555555,0.7984375,0.834848484849,0.367682031083,,0.706349206349,0.675675675676,0.685185185185,0.847222222222,,,0.598290598291,0.659574468085,0.747881355932,0.704545454545,
DDI,0.922754635287,0.701252437378,0.910427807486,0.630199430199,0.841687552214,0.175688538983,0.895436131405,0.694915254237,0.879951980792,0.774851876235,0.701754385965,0.150184159277,0.942872175916,0.694915254237,0.887840670859,0.83170355121,0.675649350649,0.110095248115,,0.690476190476,0.866666666667,0.589285714286,0.802816901408,,,0.584745762712,0.803808525506,0.692362428842,0.62962962963,
TDF,0.517250195867,0.728571428571,0.625,0.692105263158,0.873670212766,0.461069674953,0.541471505647,0.728571428571,0.666666666667,0.734006734007,0.843137254902,0.447257945391,0.652365948509,0.671428571429,0.516666666667,0.532738095239,0.878676470588,0.396254653846,,0.718309859155,0.545454545455,0.5,0.897959183673,,,0.642857142857,0.6875,0.631578947368,0.739130434783,
DLV,0.356485889094,0.807407407407,0.716517857143,0.721351250467,0.987260629665,0.659891912939,0.365990863291,0.8,0.717607973422,0.73125,0.974521259332,0.663649838155,0.391464368824,0.8,0.679698708751,0.721235664077,0.987804878049,0.646915248174,,0.829931972789,0.725,0.735849056604,0.989361702128,,,0.692845117845,0.642506142506,0.729020979021,0.819157088123,
EFV,0.70965168817,0.721199557767,0.60303030303,0.563068181818,0.974025974026,0.37593899595,0.654194009465,0.679104477612,0.561737804878,0.713075060533,0.860446247465,0.369633083091,0.687330052167,0.688888888889,0.518620689655,0.590071877808,0.993902439024,0.358140615833,,0.727891156463,0.605263157895,0.592592592593,0.967391304348,,,0.585185185185,0.545454545455,0.684697855751,0.741360089186,
NVP,0.64061617267,0.76465498594,0.822222222222,0.686858076564,0.953254972875,0.452693830201,0.584220757669,0.61231884058,0.690909090909,0.821738083775,0.680303591262,0.434776846139,0.626483601125,0.579710144927,0.697457627119,0.851821862348,0.602441314554,0.423081018858,,0.791946308725,0.90243902439,0.651515151515,0.964285714286,,,0.677536231884,0.811910377359,0.747881355932,0.738288288288,
